"","KCL code","name","ancestry_details","ancestry.x","sex.x","category_name","year.x","pmid","trait_detail","h2.observed","h2.se","h2.z","lambda.GC","mean.chi.2"
"1","ACCU01","Subcortical brain regions: Nucleus Accumbens","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Nucleus accumbens",0.0921,0.0355,2.5943662,0.9957,1.0026
"2","ACHI01","Achilles heel injury","83,264 European-White (EUR); 8,560 Latino (LAT); 7,518 East Asian (EAS); 3,161 African-American (AFR); and 476 South Asian (SAS) individuals based on ancestry principle components.","MIX","both","musculoskeletal and connective",2017,28358823,"Achilles heel injury",0.0091,0.0037,2.45945946,1.0165,1.02
"3","ADHD06","ADHD","","","","",NA,36702997,"",0.0916,0.0041,22.34146341,NA,NA
"4","ADIP01","Pericardial adipose tissue volume","Transethnic","MIX","both","anthropometric",2017,27918534,"Pericardial adipose tissue volume",0.147,0.043,3.41860465,1.0466,1.0467
"5","ADIP01F","Pericardial adipose tissue volume female","Transethnic","MIX","female","anthropometric",2017,27918534,"Pericardial adipose tissue volume",0.1979,0.0689,2.87227867,1.0466,1.0309
"6","ADIP01M","Pericardial adipose tissue volume male","Transethnic","MIX","male","anthropometric",2017,27918534,"Pericardial adipose tissue volume",0.2018,0.0887,2.27508456,1.0466,1.0371
"7","ADIP02","Pericardial adipose tissue volume adj. for height and weight","Transethnic","MIX","both","anthropometric",2017,27918534,"Pericardial adipose tissue volume adjusted for height and weight (PATadjHtWt)",0.1951,0.0456,4.27850877,1.0466,1.0634
"8","ADIP02F","Pericardial adipose tissue volume adj. for height and weight female","Transethnic","MIX","female","anthropometric",2017,27918534,"Pericardial adipose tissue volume adjusted for height and weight (PATadjHtWt)",0.2603,0.074,3.51756757,1.0466,1.0422
"9","ADIP02M","Pericardial adipose tissue volume adj. for height and weight male","Transethnic","MIX","male","anthropometric",2017,27918534,"Pericardial adipose tissue volume adjusted for height and weight (PATadjHtWt)",0.3022,0.0892,3.38789238,1.0466,1.0542
"10","ADIP03","Subcutaneous adipose tissue volume","Transethnic (AA + EA)","MIX","both","anthropometric",2017,27918534,"Subcutaneous adipose tissue volume (SAT)",0.1648,0.0265,6.21886793,1.0957,1.0905
"11","ADIP03F","Subcutaneous adipose tissue volume female","Transethnic","MIX","female","anthropometric",2017,27918534,"Subcutaneous adipose tissue volume (SAT)",0.2071,0.0456,4.54166667,1.0957,1.0758
"12","ADIP03M","Subcutaneous adipose tissue volume male","Transethnic","MIX","male","anthropometric",2017,27918534,"Subcutaneous adipose tissue volume (SAT)",0.184,0.0559,3.29159213,1.0466,1.0469
"13","ADIP04","Subcutaneous adipose tissue attenuation","Transethnic","MIX","both","anthropometric",2017,27918534,"Subcutaneous adipose tissue attenuation (SATHU)",0.0576,0.0376,1.53191489,1.0957,1.0706
"14","ADIP04F","Subcutaneous adipose tissue attenuation female","Transethnic","MIX","female","anthropometric",2017,27918534,"Subcutaneous adipose tissue attenuation (SATHU)",0.1577,0.0724,2.1781768,1.0466,1.058
"15","ADIP04M","Subcutaneous adipose tissue attenuation male","Transethnic","MIX","male","anthropometric",2017,27918534,"Subcutaneous adipose tissue attenuation (SATHU)",0.0604,0.0822,0.73479319,1.0466,1.071
"16","ADIP05","Visceral adipose tissue volume","Transethnic","MIX","both","anthropometric",2017,27918534,"Visceral adipose tissue volume (VAT)",0.1388,0.0248,5.59677419,1.0957,1.0949
"17","ADIP05F","Visceral adipose tissue volume female","Transethnic","MIX","female","anthropometric",2017,27918534,"Visceral adipose tissue volume (VAT)",0.1601,0.044,3.63863636,1.0957,1.0785
"18","ADIP05M","Visceral adipose tissue volume male","Transethnic","MIX","male","anthropometric",2017,27918534,"Visceral adipose tissue volume (VAT)",0.1742,0.0602,2.89368771,1.0466,1.061
"19","ADIP06","Visceral adipose tissue volume adj. for BMI","Transethnic","MIX","both","anthropometric",2017,27918534,"Visceral adipose tissue volume adjusted for BMI (VATadjBMI)",0.1652,0.0281,5.87900356,1.0957,1.0956
"20","ADIP06F","Visceral adipose tissue volume adj. for BMI female","Transethnic","MIX","female","anthropometric",2017,27918534,"Visceral adipose tissue volume adjusted for BMI (VATadjBMI)",0.2312,0.0455,5.08131868,1.0957,1.0856
"21","ADIP06M","Visceral adipose tissue volume adj. for BMI male","Transethnic","MIX","male","anthropometric",2017,27918534,"Visceral adipose tissue volume adjusted for BMI (VATadjBMI)",0.2148,0.0534,4.02247191,1.0466,1.0606
"22","ADIP07","Visceral adipose tissue attenutation","Transethnic","MIX","both","anthropometric",2017,27918534,"Visceral adipose tissue attenutation (VATHU)",0.144,0.0411,3.50364964,1.0957,1.0756
"23","ADIP07F","Visceral adipose tissue attenutation female","Transethnic","MIX","female","anthropometric",2017,27918534,"Visceral adipose tissue attenutation (VATHU)",0.2066,0.0716,2.88547486,1.0466,1.071
"24","ADIP07M","Visceral adipose tissue attenutation male","Transethnic","MIX","male","anthropometric",2017,27918534,"Visceral adipose tissue attenutation (VATHU)",0.1359,0.0819,1.65934066,1.0466,1.0486
"25","ADIP08","Ratio of visceral-to-subcutaneous adipose tissue volume","Transethnic","MIX","both","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume (VATSAT)",0.1589,0.0275,5.77818182,1.0957,1.1004
"26","ADIP08F","Ratio of visceral-to-subcutaneous adipose tissue volume female","Transethnic","MIX","female","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume (VATSAT)",0.185,0.0423,4.37352246,1.0957,1.085
"27","ADIP08M","Ratio of visceral-to-subcutaneous adipose tissue volume male","Transethnic","MIX","male","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume (VATSAT)",0.2163,0.0569,3.80140598,1.0466,1.0658
"28","ADIP09","Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI","Transethnic","MIX","both","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume adjusted for BMI (VATSATadjBMI)",0.1469,0.0271,5.42066421,1.0957,1.1025
"29","ADIP09F","Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI female","Transethnic","MIX","female","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume adjusted for BMI (VATSATadjBMI)",0.1807,0.0464,3.89439655,1.0957,1.0874
"30","ADIP09M","Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI male","Transethnic","MIX","male","anthropometric",2017,27918534,"Ratio of visceral-to-subcutaneous adipose tissue volume adjusted for BMI (VATSATadjBMI)",0.1743,0.0562,3.10142349,1.0466,1.0642
"31","AGAB01","Agreeableness (NEO five factor inventory)","European","EUR","both","mental and behavioural",2012,21173776,"Agreeableness (NEO five factor inventory)",0.0192,0.0277,0.69314079,1.0016,1.0084
"32","AGGR01","Aggression","European","EUR","both","mental and behavioural",2015,26087016,"Aggression",0.0512,0.025,2.048,1.0165,1.0127
"33","AGRA01","Clozapine-Induced Agranulocytosis","European","EUR","both","circulatory",2014,25187353,"Clozapine-Induced Agranulocytosis",0.6991,0.3756,1.86128861,1.0466,1.0328
"34","ALCD03","Alcohol dependence European","European","EUR","both","mental and behavioural",2017,30482948,"Alcohol dependence (EUR)",0.0547,0.0104,5.25961539,1.071,1.0675
"35","ALCO01","Daily alcohol use","European","EUR","both","mental and behavioural",2016,27911795,"Daily alcohol use both",0.0517,0.0082,6.30487805,1.071,1.0849
"36","drinks_per_week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ALCU01","AUDIT total score","","EUR","both","mental and behavioural",2019,30336701,"AUDIT total score",NA,NA,16.89090909,NA,NA
"38","ALCU02","Consumption (AUDIT-C)","","EUR","both","mental and behavioural",2019,30336701,"Consumption (AUDIT-C)",NA,NA,15.88679245,NA,NA
"39","ALCU03","Problematic consequences of drinking (AUDIT-P)","","EUR","both","mental and behavioural",2019,30336701,"Problematic consequences of drinking (AUDIT-P)",NA,NA,12.41666667,NA,NA
"40","ALSD01","Amyotrophic lateral sclerosis","European","EUR","both","nervous system",2016,27455348,"ALS",0.0496,0.0128,3.875,1.0225,1.0293
